"fat_thickness [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
5,0.6,0,0,-60.4350395970726
5,0.6,0,2,-59.2629422103394
5,0.6,0,4,-56.6327733295354
5,0.6,0,6,-54.1437730146781
5,0.6,0,8,-52.0673318019203
5,0.6,0,10,-50.3426231855213
5,0.6,0,12,-48.8857446313438
5,0.6,0,14,-47.6322192784401
5,0.6,0,16,-46.5360353562212
5,0.6,0,18,-45.5643204370582
5,0.6,0,20,-44.6931476664838
5,0.6,0,22,-43.9047156340223
5,0.6,0,24,-43.1854989182062
5,0.6,0,26,-42.5250247612661
5,0.6,0,28,-41.9150486164334
5,0.6,0,30,-41.3489865766538
5,0.6,0,32,-40.821516340558
5,0.6,0,34,-40.3282910541216
5,0.6,0,36,-39.8657302972774
5,0.6,0,38,-39.4308648006837
5,0.6,0,40,-39.021219226313
5,0.6,0,42,-38.634722318293
5,0.6,0,44,-38.2696369887137
5,0.6,0,46,-37.9245050840202
5,0.6,0,48,-37.5981030694283
5,0.6,0,50,-37.2894059116618
5,0.6,0,52,-36.9975571845119
5,0.6,0,54,-36.7218439623548
5,0.6,0,56,-36.4616754644756
5,0.6,0,58,-36.2165647069829
5,0.6,0,60,-35.9861126349982
5,0.6,0,62,-35.7699943632003
5,0.6,0,64,-35.5679472603865
5,0.6,0,66,-35.3797606833833
5,0.6,0,68,-35.2052672057803
5,0.6,0,70,-35.0443352050806
5,0.6,0,72,-34.8968626748135
5,0.6,0,74,-34.7627721222017
5,0.6,0,76,-34.6420064025961
5,0.6,0,78,-34.5345253336904
5,0.6,0,80,-34.4403029290281
5,0.6,0,82,-34.3593250939709
5,0.6,0,84,-34.291587639389
5,0.6,0,86,-34.2370944891414
5,0.6,0,88,-34.1958559862598
5,0.6,0,90,-34.1678872382155
5,0.6,0,92,-34.1532064817441
5,0.6,0,94,-34.1518334900593
5,0.6,0,96,-34.1637880873282
5,0.6,0,98,-34.1890888744165
5,0.6,0,100,-34.2277523036267
5,0.6,0,102,-34.2797922661731
5,0.6,0,104,-34.3452203724892
5,0.6,0,106,-34.4240471105983
5,0.6,0,108,-34.5162840606386
5,0.6,0,110,-34.621947323823
5,0.6,0,112,-34.7410622919957
5,0.6,0,114,-34.8736698408719
5,0.6,0,116,-35.0198339785013
5,0.6,0,118,-35.1796509242902
5,0.6,0,120,-35.3532595382438
5,0.6,0,122,-35.5408529714911
5,0.6,0,124,-35.7426913752753
5,0.6,0,126,-35.9591154947788
5,0.6,0,128,-36.1905609948309
5,0.6,0,130,-36.4375734246214
5,0.6,0,132,-36.7008238347892
5,0.6,0,134,-36.9811252181396
5,0.6,0,136,-37.2794501591851
5,0.6,0,138,-37.5969503522883
5,0.6,0,140,-37.9349789902745
5,0.6,0,142,-38.2951174476666
5,0.6,0,144,-38.6792082087583
5,0.6,0,146,-39.0893966624109
5,0.6,0,148,-39.5281852734424
5,0.6,0,150,-39.9985048604928
5,0.6,0,152,-40.5038094484338
5,0.6,0,154,-41.0482037180908
5,0.6,0,156,-41.6366159281283
5,0.6,0,158,-42.2750351168977
5,0.6,0,160,-42.9708406968321
5,0.6,0,162,-43.7332673696529
5,0.6,0,164,-44.5740721233262
5,0.6,0,166,-45.5085083637142
5,0.6,0,168,-46.5567718737627
5,0.6,0,170,-47.7461651229827
5,0.6,0,172,-49.114281221367
5,0.6,0,174,-50.713205924037
5,0.6,0,176,-52.6122246480034
5,0.6,0,178,-54.8814543065228
5,0.6,0,180,-57.4560351570434
7.5,0.6,0,0,-54.9500624270444
7.5,0.6,0,2,-52.3861872752663
7.5,0.6,0,4,-50.4001564179798
7.5,0.6,0,6,-48.7822789498276
7.5,0.6,0,8,-47.4179663876209
7.5,0.6,0,10,-46.238357449917
7.5,0.6,0,12,-45.1990453868941
7.5,0.6,0,14,-44.2698288849644
7.5,0.6,0,16,-43.429308959059
7.5,0.6,0,18,-42.6618289530084
7.5,0.6,0,20,-41.9556382895757
7.5,0.6,0,22,-41.3017368460978
7.5,0.6,0,24,-40.6931180866232
7.5,0.6,0,26,-40.1242562165708
