"fat_thickness [mm]","Freq [MHz]","dB(S(1,1)) []"
5,201.5,-1.27587883554048
5,202.99625,-1.2700612004549
5,204.4925,-1.26507160903074
5,205.98875,-1.26085266792972
5,207.485,-1.25735301828894
5,208.98125,-1.25452659173847
5,210.4775,-1.25233197413012
5,211.97375,-1.25073185931904
5,213.47,-1.24969257855982
5,214.96625,-1.24918369365503
5,216.4625,-1.24917764406529
5,217.95875,-1.24964943986415
5,219.455,-1.25057639378028
5,220.95125,-1.25193788667823
5,222.4475,-1.25371516173664
5,223.94375,-1.25589114333046
5,225.44,-1.25845027723935
5,226.93625,-1.26137838931644
5,228.4325,-1.26466256017582
5,229.92875,-1.268291013812
5,231.425,-1.27225301836118
5,232.92125,-1.27653879746311
5,234.4175,-1.28113945089183
5,235.91375,-1.28604688330023
5,237.41,-1.29125374007292
5,238.90625,-1.29675334940813
5,240.4025,-1.30253966985705
5,241.89875,-1.30860724264001
5,243.395,-1.31495114813681
5,244.89125,-1.32156696601479
5,246.3875,-1.32845073851465
5,247.88375,-1.33559893646319
5,249.38,-1.34300842762325
5,250.87625,-1.35067644702814
5,252.3725,-1.35860056897888
5,253.86875,-1.36677868041098
5,255.365,-1.37520895536251
5,256.86125,-1.38388983029848
5,258.3575,-1.3928199800683
5,259.85375,-1.40199829429462
5,261.35,-1.41142385401305
5,262.84625,-1.42109590840475
5,264.3425,-1.43101385148748
5,265.83875,-1.44117719865621
5,267.335,-1.45158556299325
5,268.83125,-1.46223863129875
5,270.3275,-1.47313613982789
5,271.82375,-1.48427784975949
5,273.32,-1.49566352246383
5,274.81625,-1.50729289468352
5,276.3125,-1.51916565379161
5,277.80875,-1.53128141334336
5,279.305,-1.54363968919301
5,280.80125,-1.556239876501
5,282.2975,-1.56908122801086
5,283.79375,-1.58216283402408
5,285.29,-1.59548360454471
5,286.78625,-1.60904225409886
5,288.2825,-1.62283728975636
5,289.77875,-1.63686700288685
5,291.275,-1.65112946517046
5,292.77125,-1.66562252934819
5,294.2675,-1.68034383513988
5,295.76375,-1.69529082067433
5,297.26,-1.71046073966927
5,298.75625,-1.72585068446745
5,300.2525,-1.7414576148836
5,301.74875,-1.75727839264911
5,303.245,-1.77330982106329
5,304.74125,-1.78954868927912
5,306.2375,-1.80599182047637
5,307.73375,-1.8226361230144
5,309.23,-1.8394786435202
5,310.72625,-1.85651662076221
5,312.2225,-1.87374753909512
5,313.71875,-1.891169180239
5,315.215,-1.9087796721819
5,316.71125,-1.92657753406788
5,318.2075,-1.94456171604957
5,319.70375,-1.96273163324109
5,321.2,-1.98108719309516
5,322.69625,-1.99962881573864
5,324.1925,-2.01835744702294
5,325.68875,-2.03727456426883
5,327.185,-2.05638217489907
5,328.68125,-2.0756828083474
5,330.1775,-2.09517950180111
5,331.67375,-2.11487578047154
5,333.17,-2.13477563318836
5,334.66625,-2.15488348417821
5,336.1625,-2.17520416191786
5,337.65875,-2.19574286594783
5,339.155,-2.21650513249948
5,340.65125,-2.23749679973113
5,342.1475,-2.25872397329255
5,343.64375,-2.2801929928479
5,345.14,-2.30191040008965
5,346.63625,-2.32388290867596
5,348.1325,-2.34611737642468
5,349.62875,-2.36862078000298
5,351.125,-2.3914001922643
5,352.62125,-2.4144627623067
5,354.1175,-2.43781569825871
5,355.61375,-2.46146625274237
5,357.11,-2.48542171091669
5,358.60625,-2.50968938096912
5,360.1025,-2.53427658689637
5,361.59875,-2.55919066339783
5,363.095,-2.58443895269476
5,364.59125,-2.6100288030843
5,366.0875,-2.63596756903841
5,367.58375,-2.6622626126633
5,369.08,-2.68892130634327
5,370.57625,-2.71595103640369
5,372.0725,-2.7433592076403
5,373.56875,-2.77115324857509
5,375.065,-2.79934061731299
5,376.56125,-2.8279288078869
5,378.0575,-2.85692535699246
5,379.55375,-2.88633785102612
5,381.05,-2.91617393335267
5,382.54625,-2.94644131173915
5,384.0425,-2.97714776590255
5,385.53875,-3.00830115512779
5,387.035,-3.03990942592119
5,388.53125,-3.07198061967151
5,390.0275,-3.10452288029788
5,391.52375,-3.13754446186912
5,393.02,-3.17105373618434
5,394.51625,-3.2050592003088
5,396.0125,-3.23956948406273
5,397.50875,-3.27459335746422
5,399.005,-3.31013973812939
5,400.50125,-3.34621769863593
5,401.9975,-3.38283647385732
5,403.49375,-3.42000546827703
5,404.99,-3.45773426329291
5,406.48625,-3.49603262452322
5,407.9825,-3.53491050912639
5,409.47875,-3.57437807314724
5,410.975,-3.61444567890303
5,412.47125,-3.65512390242305
5,413.9675,-3.69642354095549
5,415.46375,-3.73835562055618
5,416.96,-3.78093140377326
5,418.45625,-3.82416239744255
5,419.9525,-3.86806036060823
5,421.44875,-3.91263731258364
5,422.945,-3.9579055411671
5,424.44125,-4.0038776110278
5,425.9375,-4.05056637227686
5,427.43375,-4.09798496923889
5,428.93,-4.14614684943934
5,430.42625,-4.19506577282342
5,431.9225,-4.24475582122217
5,433.41875,-4.29523140808176
5,434.915,-4.34650728847229
5,436.41125,-4.39859856939235
5,437.9075,-4.45152072038627
5,439.40375,-4.50528958449108
5,440.9,-4.55992138953043
5,442.39625,-4.61543275977316
5,443.8925,-4.67184072797468
5,445.38875,-4.7291627478193
5,446.885,-4.78741670678246
5,448.38125,-4.8466209394317
5,449.8775,-4.90679424118594
5,451.37375,-4.96795588255267
5,452.87,-5.03012562386308
5,454.36625,-5.0933237305254
5,455.8625,-5.15757098881684
5,457.35875,-5.22288872223463
5,458.855,-5.28929880842683
5,460.35125,-5.35682369672329
5,461.8475,-5.42548642628707
5,463.34375,-5.49531064490609
5,464.84,-5.56632062844439
5,466.33625,-5.63854130097123
5,467.8325,-5.71199825558541
5,469.32875,-5.78671777595052
5,470.825,-5.86272685855508
5,472.32125,-5.94005323570879
5,473.8175,-6.01872539928373
5,475.31375,-6.09877262520504
5,476.81,-6.18022499869169
5,478.30625,-6.2631134402422
5,479.8025,-6.34746973235392
5,481.29875,-6.4333265469565
5,482.795,-6.52071747353104
5,484.29125,-6.60967704787524
5,485.7875,-6.70024078146172
5,487.28375,-6.79244519132119
5,488.78,-6.88632783036363
5,490.27625,-6.98192731802897
5,491.7725,-7.07928337113303
5,493.26875,-7.17843683474447
