"fat_thickness [mm]","Freq [MHz]","VSWR(1) []"
5,201.5,13.6400129956155
5,202.99625,13.7022687500487
5,204.4925,13.7561203876652
5,205.98875,13.8019876992734
5,207.485,13.8402690223231
5,208.98125,13.8713423925647
5,210.4775,13.8955666400827
5,211.97375,13.913282429887
5,213.47,13.9248132480084
5,214.96625,13.930466334592
5,216.4625,13.9305335658578
5,217.95875,13.925292287047
5,219.455,13.915006098626
5,220.95125,13.8999255981005
5,222.4475,13.8802890798178
5,223.94375,13.8563231951259
5,225.44,13.8282435752134
5,226.93625,13.7962554188963
5,228.4325,13.7605540475406
5,229.92875,13.7213254292285
5,231.425,13.6787466741848
5,232.92125,13.6329865033912
5,234.4175,13.5842056922223
5,235.91375,13.5325574908472
5,237.41,13.4781880230518
5,238.90625,13.421236665048
5,240.4025,13.3618364057515
5,241.89875,13.3001141899299
5,243.395,13.2361912455365
5,244.89125,13.1701833964729
5,246.3875,13.1022013619388
5,247.88375,13.0323510434549
5,249.38,12.960733800561
5,250.87625,12.8874467161155
5,252.3725,12.8125828520354
5,253.86875,12.7362314962318
5,255.365,12.6584784014026
5,256.86125,12.5794060162453
5,258.3575,12.4990937095501
5,259.85375,12.4176179875177
5,261.35,12.3350527045251
5,262.84625,12.2514692674315
5,264.3425,12.166936833374
5,265.83875,12.0815225008526
5,267.335,11.9952914937465
5,268.83125,11.9083073377334
5,270.3275,11.8206320284179
5,271.82375,11.7323261902983
5,273.32,11.6434492255343
5,274.81625,11.5540594513175
5,276.3125,11.4642142244992
5,277.80875,11.3739700520096
5,279.305,11.2833826855078
5,280.80125,11.1925071986558
5,282.2975,11.1013980454084
5,283.79375,11.0101090977718
5,285.29,10.9186936616183
5,286.78625,10.8272044693547
5,288.2825,10.7356936485345
5,289.77875,10.6442126658904
5,291.275,10.5528122467263
5,292.77125,10.4615422701633
5,294.2675,10.3704516413449
5,295.76375,10.2795881423837
5,297.26,10.1889982645293
5,298.75625,10.098727024742
5,300.2525,10.0088177705333
5,301.74875,9.91931197754234
5,303.245,9.83024904483114
5,304.74125,9.74166609325814
5,306.2375,9.65359777250149
5,307.73375,9.56607608232836
5,309.23,9.47913021352512
5,310.72625,9.39278641351417
5,312.2225,9.3070678810899
5,313.71875,9.22199469393003
5,315.215,9.13758377160831
5,316.71125,9.05384887578944
5,318.2075,8.97080064817533
