"fat_thickness [mm]","Freq [MHz]","re(Z(1,1)) []","im(Z(1,1)) []"
5,201.5,186.078581605885,-300.769979586921
5,202.99625,187.820804270773,-302.6338814832
5,204.4925,189.47967650962,-304.321252447529
5,205.98875,191.057698744852,-305.839654872754
5,207.485,192.557311730555,-307.196310253624
5,208.98125,193.980896123212,-308.39811592082
5,210.4775,195.330772278967,-309.451660851678
5,211.97375,196.60920024576,-310.363240613308
5,213.47,197.818379922004,-311.138871490468
5,214.96625,198.960451356526,-311.78430384745
5,216.4625,200.037495167106,-312.3050347703
5,217.95875,201.051533057411,-312.706320032999
5,219.455,202.004528414241,-312.993185428726
5,220.95125,202.898386968956,-313.170437504956
5,222.4475,203.734957508688,-313.242673739021
5,223.94375,204.516032624527,-313.214292188737
5,225.44,205.243349485282,-313.089500650882
5,226.93625,205.918590626743,-312.872325358592
5,228.4325,206.543384747526,-312.566619247217
5,229.92875,207.119307503722,-312.176069816741
5,231.425,207.647882295584,-311.704206617572
5,232.92125,208.130581040443,-311.154408385354
5,234.4175,208.568824927006,-310.529909849341
5,235.91375,208.96398514707,-309.833808237951
5,237.41,209.317383601573,-309.069069504188
5,238.90625,209.630293578835,-308.238534292857
5,240.4025,209.903940403699,-307.344923670739
5,241.89875,210.13950205727,-306.390844640235
5,243.395,210.33810976791,-305.378795456332
5,244.89125,210.500848575193,-304.311170766152
5,246.3875,210.628757869625,-303.190266589725
5,247.88375,210.72283191213,-302.018285160017
5,249.38,210.784020338549,-300.797339639581
5,250.87625,210.813228655771,-299.529458730475
5,252.3725,210.811318737552,-298.216591193263
5,253.86875,210.779109329615,-296.860610289984
5,255.365,210.717376575247,-295.46331816483
5,256.86125,210.626854574273,-294.026450174972
5,258.3575,210.508235990047,-292.551679182402
5,259.85375,210.362172720811,-291.040619815798
5,261.35,210.189276653514,-289.494832709247
5,262.84625,209.990120519798,-287.915828722081
5,264.3425,209.765238875378,-286.305073141168
5,265.83875,209.515129225264,-284.663989863566
5,267.335,209.240253318257,-282.993965553652
5,268.83125,208.941038634629,-281.29635376453
5,270.3275,208.617880090892,-279.572479008838
5,271.82375,208.271141984812,-277.823640758958
5,273.32,207.901160202316,-276.051117351255
5,274.81625,207.508244705433,-274.256169763349
5,276.3125,207.092682316839,-272.440045227789
5,277.80875,206.654739811802,-270.603980639963
5,279.305,206.194667322257,-268.749205712963
5,280.80125,205.712702050353,-266.876945827589
5,282.2975,205.209072280055,-264.988424522158
5,283.79375,204.684001665447,-263.084865564546
5,285.29,204.137713763272,-261.167494548253
5,286.78625,203.57043676531,-259.237539955733
5,288.2825,202.982408373776,-257.296233635891
5,289.77875,202.373880750396,-255.344810649001
5,291.275,201.745125457814,-253.384508441303
5,292.77125,201.096438301036,-251.416565323503
5,294.2675,200.42814396751,-249.442218241995
5,295.76375,199.740600357711,-247.462699848838
5,297.26,199.034202494613,-245.479234895761
5,298.75625,198.309385900646,-243.493035998216
5,300.2525,197.566629335163,-241.505298836937
5,301.74875,196.806456794457,-239.517196885643
5,303.245,196.029438689942,-237.529875773427
5,304.74125,195.236192138107,-235.544447407891
5,306.2375,194.427380317827,-233.561983999199
5,307.73375,193.603710875777,-231.58351213489
5,309.23,192.765933388071,-229.610007059828
5,310.72625,191.914835914664,-227.64238731446
5,312.2225,191.051240711157,-225.681509877486
5,313.71875,190.17599918906,-223.728165946078
5,315.215,189.289986238996,-221.783077468565
5,316.71125,188.394094050616,-219.846894521694
5,318.2075,187.489225577098,-217.920193598267
5,319.70375,186.576287800531,-216.003476842475
5,321.2,185.656184956754,-214.097172240895
5,322.69625,184.729811874582,-212.201634748346
5,324.1925,183.798047574962,-210.317148300924
5,325.68875,182.861749261395,-208.44392864466
5,327.185,181.921746814662,-206.582126888359
5,328.68125,180.978837883713,-204.731833673864
5,330.1775,180.03378364164,-202.893083846631
5,331.67375,179.087305252089,-201.065861504062
5,333.17,178.140081068441,-199.250105298449
5,334.66625,177.19274456639,-197.445713875004
5,336.1625,176.245882991131,-195.652551332813
5,337.65875,175.30003668362,-193.870452606827
5,339.155,174.355699036708,-192.099228681485
5,340.65125,173.413317021567,-190.338671560403
5,342.1475,172.4732922176,-188.588558931049
5,343.64375,171.535982274836,-186.848658477822
5,345.14,170.601702736392,-185.118731810908
5,346.63625,169.670729149484,-183.398537991175
5,348.1325,168.743299396371,-181.687836643071
5,349.62875,167.819616181041,-179.986390657545
5,351.125,166.899849612983,-178.293968495567
5,352.62125,165.984139835696,-176.610346109678
5,354.1175,165.072599654239,-174.935308506303
5,355.61375,164.16531712296,-173.2686509754
5,357.11,163.262358061138,-171.610180016537
5,358.60625,162.363768470666,-169.959713991836
5,360.1025,161.469576835747,-168.317083536593
5,361.59875,160.579796289938,-166.68213175797
5,363.095,159.694426640587,-165.054714251078
5,364.59125,158.813456244881,-163.434698960227
5,366.0875,157.936863735176,-161.821965911219
5,367.58375,157.064619594254,-160.216406838466
5,369.08,156.196687583508,-158.617924728456
5,370.57625,155.333026028932,-157.026433298846
5,372.0725,154.473588971233,-155.441856430181
5,373.56875,153.618327187416,-153.864127565106
5,375.065,152.767189091897,-152.293189087853
5,376.56125,151.92012152561,-150.728991694911
5,378.0575,151.077070441771,-149.171493765995
5,379.55375,150.237981496926,-147.620660742866
5,381.05,149.40280055578,-146.07646452212
5,382.54625,148.571474117989,-144.538882866801
5,384.0425,147.743949674762,-143.007898840601
5,385.53875,146.920176002675,-141.483500267416
5,387.035,146.100103401637,-139.965679218256
5,388.53125,145.283683883456,-138.454431526763
5,390.0275,144.47087131695,-136.94975633402
5,391.52375,143.66162153508,-135.451655662862
5,393.02,142.855892409045,-133.960134021479
5,394.51625,142.053643893871,-132.475198035788
5,396.0125,141.25483804955,-130.996856109823
5,397.50875,140.459439041361,-129.525118113152
5,399.005,139.667413122649,-128.059995094227
5,400.50125,138.878728602934,-126.601499018452
5,401.9975,138.093355803931,-125.149642529691
5,403.49375,137.311267005716,-123.704438733892
5,404.99,136.532436385034,-122.265901003507
5,406.48625,135.756839947463,-120.834042801371
5,407.9825,134.984455454939,-119.408877522746
5,409.47875,134.215262349941,-117.990418354246
5,410.975,133.449241677446,-116.578678148427
5,412.47125,132.686376005607,-115.173669312849
5,413.9675,131.926649345967,-113.775403712484
5,415.46375,131.170047073889,-112.38389258441
5,416.96,130.416555849761,-110.999146463763
5,418.45625,129.666163541466,-109.621175120008
5,419.9525,128.918859148487,-108.249987502623
5,421.44875,128.174632727959,-106.88559169537
5,422.945,127.43347532292,-105.527994878367
5,424.44125,126.695378892937,-104.177203297241
5,425.9375,125.960336247261,-102.833222238683
5,427.43375,125.2283409806,-101.49605601179
5,428.93,124.499387411565,-100.165707934617
5,430.42625,123.773470523849,-98.8421803254023
5,431.9225,123.050585910108,-97.5254744979947
5,433.41875,122.33072971857,-96.2155907610162
5,434.915,121.613898602302,-94.9125284203633
5,436.41125,120.900089671125,-93.616285784666
5,437.9075,120.189300446092,-92.3268601733608
5,439.40375,119.481528816477,-91.0442479270656
5,440.9,118.776772999195,-89.76844441997
5,442.39625,118.075031500581,-88.4994440739814
5,443.8925,117.376303080429,-87.2372403743903
5,445.38875,116.680586718229,-85.9818258868402
5,446.885,115.987881581488,-84.7331922754086
5,448.38125,115.298186996066,-83.491330321623
5,449.8775,114.611502418428,-82.2562299442522
5,451.37375,113.927827409736,-81.0278802197313
5,452.87,113.247161611673,-79.8062694030905
5,454.36625,112.569504723942,-78.591384949272
5,455.8625,111.894856483334,-77.3832135347309
5,457.35875,111.223216644295,-76.1817410792281
5,458.855,110.55458496092,-74.9869527677305
5,460.35125,109.888961170277,-73.7988330723461
5,461.8475,109.226344977017,-72.6173657742264
5,463.34375,108.566736039172,-71.4425339853804
5,464.84,107.910133955097,-70.2743201703458
5,466.33625,107.256538251478,-69.112706167674
5,467.8325,106.605948372343,-67.9576732111891
5,469.32875,105.958363669032,-66.8092019509856
5,470.825,105.313783391051,-65.6672724741345
5,472.32125,104.672206677772,-64.5318643250739
5,473.8175,104.033632550918,-63.4029565256595
5,475.31375,103.398059907793,-62.2805275948576
5,476.81,102.7654875152,-61.1645555680656
5,478.30625,102.135914004021,-60.0550180160442
5,479.8025,101.5093378644,-58.9518920634556
5,481.29875,100.885757441496,-57.8551544069935
5,482.795,100.265170931784,-56.7647813331045
5,484.29125,99.6475763798366,-55.6807487352915
5,485.7875,99.032971675592,-54.6030321309987
5,487.28375,98.4213545520462,-53.5316066780773
5,488.78,97.8127225833581,-52.4664471908282
5,490.27625,97.2070731833321,-51.4075281556261
5,491.7725,96.6044036042562,-50.3548237461245
5,493.26875,96.0047109360683,-49.3083078380453
5,494.765,95.4079921058299,-48.2679540235558
5,496.26125,94.8142438774841,-47.2337356252358
5,497.7575,94.2234628518786,-46.205625709643
5,499.25375,93.6356454670345,-45.1835971004764
5,500.75,93.0507879986423,-44.1676223913491
5,502.24625,92.4688865607692,-43.1576739581694
5,503.7425,91.8899371067618,-42.1537239711437
5,505.23875,91.3139354303284,-41.1557444064004
5,506.735,90.7408771667893,-40.1637070572457
5,508.23125,90.1707577944798,-39.1775835450582
5,509.7275,89.6035726362958,-38.1973453298232
5,511.22375,89.0393168613688,-37.2229637203227
5,512.72,88.4779854868624,-36.2544098839783
5,514.21625,87.9195733798775,-35.2916548563616
